date,topic,num_events,num_articles,avg_tone
2024-11-03,conflict,1318,7847,-3.6833241747627876
2024-11-03,election,27491,151270,-0.7487197417058038
2024-11-03,immigration,1225,7230,-2.95208751643587
2024-11-04,conflict,1972,11495,-3.2769529367399435
2024-11-04,election,44648,241348,-0.541809570398573
2024-11-04,immigration,2353,13612,-2.512603461855857
2024-11-05,conflict,2083,12392,-3.2000723525525743
2024-11-05,election,48344,265080,-0.2569335293216668
2024-11-05,immigration,2515,13967,-2.4127287496937462
2024-11-06,conflict,1839,10818,-3.0509576599750625
2024-11-06,election,53468,278233,0.19030774992762955
2024-11-06,immigration,2674,14725,-1.9071915831686672
2024-11-07,conflict,1649,9750,-2.67180668318933
2024-11-07,election,53100,284511,-0.0338379353266248
2024-11-07,immigration,2525,14831,-1.7811732475348263
2024-11-08,conflict,1477,8703,-2.9938851057477032
2024-11-08,election,48505,267324,-0.24451974260709161
2024-11-08,immigration,2205,12721,-2.1264449580900338
2024-11-09,conflict,1134,7436,-3.4134368279056475
2024-11-09,election,33199,182897,-0.48323313528770917
2024-11-09,immigration,1635,9726,-2.5383322024074562
