video_id,date,time,topic,title,channel,view_count,like_count,comment_count
Vv2ElYrKbfc,11/4/24,12:16:42 AM,conflict/war,The most controversial fumble in the NFL.😭🙏 #dontletthisflop #nfl #conflict #nflhighlights,practt,612,7,2
h9fp3rpg63o,11/4/24,12:19:01 AM,conflict/war,Conflict in Life is Unavoidable | TWK Reacts #twk #twkreacts #conflict,The Wizard King,501,10,0
XzGTVTHiS0U,11/4/24,1:17:22 AM,election,"#LegionOfSkanks Election 2020 Best Moments w/ Ari Shaffir, Shane Gillis, Dan Soder and MANY More!",Legion of Skanks Clips,115097,1732,271
qiLPDY5zfMk,11/4/24,4:00:25 AM,election,"Georgia election officials defend voting system against barrage of false claims, conspiracy theories",60 Minutes,147100,3652,901
sG2sJJNHOF8,11/4/24,4:06:55 AM,immigration,Delivering Immigrants to Kamala Supporters @SethMeiring,Seth's Prank Circus,613745,29814,333
SCmlLkVqx9A,11/4/24,4:16:25 AM,conflict/war,Israel-Gaza War: Struggles of Palestinian Fishermen in Gaza Amid Ongoing Conflict,India Today Global,538,47,2
jjwrNv31ukc,11/4/24,4:30:11 AM,election,US Election - When will we have an answer? | ABC News,ABC News (Australia),31196,624,0
MGDqv-QnwTQ,11/4/24,5:00:53 AM,election,Momen Menegangkan! Dolar AS Merosot Jelang Pilpres! 😮 #bestbroker,Dupoin Futures,212,5,0
yu6M2GHUv6I,11/4/24,6:10:22 AM,immigration,"US Elections: Immigration, Unemployment: Big Issues Ahead Of Election Day | WION | World News",WION,3411,33,10
VlqQS6ftpxo,11/4/24,7:00:16 AM,conflict/war,Fort Laramie Treaty #history #nativeamerican #usa #westwardexpansion #goldrush #treaty #conflict,Audiology,543,15,0
tWZAbKU-JzE,11/4/24,7:30:23 AM,election,Election 2024: Last Week Tonight with John Oliver (HBO),LastWeekTonight,4425455,168164,15816
bDWUIuUKoDQ,11/4/24,8:59:28 AM,election,Big Breaking News : यूपी उपचुनाव की तारीख बदली | UP By Election 2024 Voting Date Change | CM Yogi,IndiaTV,71119,221,9
XuPYnykVK-k,11/4/24,8:59:59 AM,conflict/war,The Israeli military has reportedly #Israel​ #Iran​ #Iraq​ #Missiles​ #Conflict​ #Middle,Rizvan Mohd Irfan,1609,19,1
f-A94r96CNw,11/4/24,9:00:41 AM,conflict/war,Netanyahu Cancels Trip Amid Drone Attack in Northern Israel #israel #lebanon #conflict #military,The Event Report,449,12,1
fAs4c3lck24,11/4/24,9:59:15 AM,conflict/war,Canada - India relationship conflict  #trending #india #canada #borderissue #conflict,@KnowledgewithDharm,533,13,0
jyHFVQ2ly2g,11/4/24,10:48:16 AM,election,"""കൽ‌പാത്തി തേവരെപറ്റി K Surendranന് എന്ത് അറിയാം"" : P Sarin | Palakkad By Election | N18S #shorts",News18 Kerala,212439,1866,139
PdNCBS_G5NI,11/4/24,11:15:19 AM,immigration,Orgullo Venezolano: Inmigrante y Defensor de España,shortcast,251926,11581,437
hBLQvrtzTAc,11/4/24,11:16:46 AM,election,US election enters final day of campaigning | BBC News,BBC News,266232,1960,1127
KEFVDFtF6ww,11/4/24,11:55:15 AM,immigration,"UK Universities Ratings Out of 10 by Our CEO, Azeem Qasim!",EDIFY GROUP,23749,549,75
gr7cjgbpfz8,11/4/24,12:00:52 PM,conflict/war,What happens to Israel after the US elections? #podcast #conflict #election2024 #stock,Capital Horizons - The Podcast,524,2,0
DZ3mnty2tig,11/4/24,12:05:29 PM,conflict/war,Master Conflict Resolution: The Power of Listening,MindMunchies,578,12,0
1WE0LhTylzM,11/4/24,12:30:01 PM,election,The candidate with the most votes won’t necessarily win the election. #USElection #BBCNews,BBC News,28751,790,133
hdlhcUdkUQk,11/4/24,2:00:43 PM,election,Election's Best Scenes,Movieclips,29691,330,53
bazoQAMaz4Q,11/4/24,2:24:01 PM,conflict/war,The conflict between father and son #affection #shortsvideo #shorts,Hammrich Delio,4607,207,1
egdwDB7nSuI,11/4/24,3:00:47 PM,immigration,How To Get a USA Visa On a Fresh Passport | USA VISA | USA | USA Visa Appointment | Nile Consultant,Nile Consultant & Immigration Expert,1915,163,8
pu125Foi65Y,11/4/24,3:09:52 PM,election,2024 Presidential Election in 400 Seconds!,Sid Yates,455002,14091,1170
0yDdTzmXVDQ,11/4/24,3:15:00 PM,conflict/war,India vs Canada Short 1 #india #canada #conflict #worldnews #viralshort #sbsa #justintrudeau,SBSA (Step By Step Academy),786,49,2
0W6GMyAhcQk,11/4/24,4:05:49 PM,conflict/war,Taking Responsibility vs. Taking Accountability - Ryan Dunlap #conflict,Conflictish,68105,8464,189
aUKQ5NVpbdc,11/4/24,4:10:40 PM,election,How NBC's Steve Kornacki prepares for a national election #Shorts,USA TODAY,8938,78,5
zHsPj6loNrQ,11/4/24,4:11:38 PM,immigration,"Americans vote on abortion, immigration, marijuana and voting rights | USA TODAY",USA TODAY,22433,30,165
iOZfurhiFy0,11/4/24,4:12:48 PM,conflict/war,Conflict Avoidance Isn’t Conflict Resolution - Ryan Dunlap,Conflictish,11791,0,36
SzRR3STVTTc,11/4/24,4:57:05 PM,election,The key moments of the US election campaign in three minutes,Guardian News,174539,1277,204
QGDoW91LljI,11/4/24,5:10:15 PM,election,Hussein Mohammed : My manifesto will revolve around three key pillars,KBC Channel 1,47,0,0
yGiyb0habBw,11/4/24,5:30:47 PM,election,What's the Smallest Popular Vote Percentage to Win the Presidency?,Mr. Beat,311526,14702,1427
ZGEoNbGi0uw,11/4/24,5:40:32 PM,election,Gov. Josh Shapiro saysTrump “will not succeed” at undermining election integrity in Pennsylvania.,NBC News,269348,10473,819
aC6X9fIKjSA,11/4/24,5:42:14 PM,election,"Where Kamala Harris, Donald Trump stand on top election issues",USA TODAY,35076,133,56
CKAOiDspNzQ,11/4/24,5:44:42 PM,election,The real tiger satej /bunty patil kolhapur #satejpatil #kolhapur #vidhansbha #congress #election,Umesh Jadhav,543586,15879,145
9qI0LTmSr38,11/4/24,6:00:04 PM,election,Election Touchscreen Map Takes Deeper Look Inside Key Swing Voter | Onion News Network,The Onion,2780145,163732,4723
MGlyrbSPrKE,11/4/24,6:00:15 PM,immigration,Is Your OPT Still Valid After H1B Approval? #h1b #h1bvisa #immigration,Smart Green Card ,1794,25,1
oJcwnWP3ZOg,11/4/24,6:08:01 PM,election,Key moments from the 2024 US election campaign,Sky News,30995,289,49
xzZKsPb8lTU,11/4/24,6:20:15 PM,immigration,DROPPING ILLEGAL IMMIGRANTS OFF AT RICH LIBERALS HOUSE 🤬,NELK,4599638,215840,8787
mAHGwQpAE8o,11/4/24,6:35:20 PM,election,2000: The Closest Election in History.,BooneU,563363,15529,946
4YWsRqbiZ9A,11/4/24,6:37:10 PM,election,5 Biggest Election Landslides in United States History,Resyndicated,436023,5013,706
40pkqDNorl0,11/4/24,7:00:02 PM,immigration,How Federal Government Has Increased Illegal Immigration Through Messaging,Federation for American Immigration Reform,688,139,5
o--IZS5Gfak,11/4/24,7:17:17 PM,election,John King breaks down the 2024 race before Election Day,CNN,953151,6773,3234
IQktQvmpjGE,11/4/24,8:02:04 PM,immigration,Choose Wilner & O'Reilly: Salt Lake City's Trusted Immigration Law Firm,WILNER & O'REILLY - IMMIGRATION LAWYERS,902,3,0
NW5TAzcrGhM,11/4/24,8:15:42 PM,conflict/war,Farouk Al-Wahab speaks with Captain Smart on Isreal-Hamas conflict and Bawku Crises,Onua FM 95.1,64212,839,130
bHWMiJEBVBA,11/4/24,8:15:58 PM,immigration,👀 Gobernador de Virginia • Elecciones 2024 - Inmigrando con Kathia,Abogada de Inmigracion - Kathia Quiros,5853,120,4
5cwgR2snVqY,11/4/24,8:45:00 PM,election,KYLE’S ELECTION PREDICTION REVEALED | The Kyle Kulinski Show,Secular Talk,620266,27762,9850
T72yhJNxdXM,11/4/24,8:53:13 PM,election,“They Have WOKE RABIES!” Trump vs Harris Election Debate GETS PERSONAL!,Piers Morgan Uncensored,742499,13196,11708
Fwqs7MU81qw,11/4/24,9:06:28 PM,election,The original battle rifle M1 Garand #battlefield #callofduty #military #election #m1,Rillos Armory ,130449,3208,32
#NAME?,11/4/24,9:16:33 PM,immigration,"No Extensión del Parole para Cubanos, Nicaragüenses y Haitianos 🇨🇺🇳🇮🇭🇹 #inmigración #jesusreyeslaw",Abogado de inmigración Jesus Reyes,3734911,73493,3211
h4tKSgXYrj8,11/4/24,9:46:01 PM,election,I Will Vote For Donald Trump,Big A,83056,3012,270
BJkf7e_cZ68,11/4/24,9:55:00 PM,election,What polls say about the 2024 presidential election,Good Morning America,902058,3892,2582
ScmnbLjVu28,11/4/24,10:00:15 PM,election,"Your vote is your voice, and your voice is your power. Let’s bring it home, Wisconsin.",Kamala Harris,67804,3870,190
__HPCmizGfc,11/4/24,10:15:34 PM,election,Sky polling puts Kamala Harris ahead | US Election 2024,Sky News,31461,167,320
l8t9pP6WhBg,11/4/24,10:30:10 PM,election,Why are swing states so important in the US election? #US #SwingStates #Election #BBCNews,BBC News,52892,1174,77
GCsUQX-U4Rw,11/4/24,10:48:00 PM,election,The Tech Powering NBC News’ Election Coverage,NBCU Academy,13887,418,25
aL-nDkI2VIg,11/4/24,10:59:53 PM,election,Tour NBC News and MSNBC Election Headquarters,NBCU Academy,9114,226,12
UURft52-w4Q,11/4/24,11:00:06 PM,immigration,SHOULD YOU HIRE AN IMMIGRATION ATTORNEY?,Kseniya International,21802,305,47
